State,Campaigns,Status,Type,Targeting,Campaign bidding strategy,Start date,End date,Portfolio,Budget(USD),Top-of-search IS,Cost type,Impressions,Clicks,CTR,Spend(USD),CPC(USD),DPV,Orders,Sales(USD),ACOS,ROAS,NTB orders,% of orders NTB,NTB sales(USD),% of sales NTB,Viewable impressions,VCPM(USD),Video first quartile,Video midpoint,Video third quartile,Video complete,Video unmute,VTR,vCTR,CPM(USD)
ENABLED,75TT16NUL2R8-8GK2_Search,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,6/29/21,,2-NP13K2 Ads,15.00,5.291338582677165%,CPC,2017,19,0.0094,17.02,0.90,0,9,229.69,0.0741,13.4953,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,76TT16NUSL2R8-8GK1_Search,OUT_OF_BUDGET,SP,MANUAL,Dynamic bids - down only,6/29/21,,1-NP24K1 Ads,12.00,9.177489177489177%,CPC,1785,18,0.0101,17.05,0.95,0,7,95.92,0.1778,5.6258,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,VCB_76TT16NUSL2R8-8GK2_New,CAMPAIGN_STATUS_ENABLED,SB2,MANUAL,,11/24/22,,1-NP24K2 Ads,2.00,<5%,CPC,2767,20,0.0072,7.00,0.35,0,5,97.95,0.0715,13.9929,4,0.8,78.96,0.8061,500,14.00,0,0,0,0,0,0,0,0.00
ENABLED,76TT16NUSL2R8-8GK2-Manual,OUT_OF_BUDGET,SP,MANUAL,Dynamic bids - down only,9/14/16,,1-NP24K2 Ads,10.00,<5%,CPC,6462,17,0.0026,15.42,0.91,0,4,79.96,0.1928,5.1855,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,35TTM8SSATA_Manual,OUT_OF_BUDGET,SP,MANUAL,Dynamic bids - down only,10/9/20,,5-SSD Ads,3.00,<5%,CPC,8679,25,0.0029,7.13,0.29,0,4,2909.29,0.0025,408.0351,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,76TT16NUSL2R8-8GK2_PD,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,4/29/22,,1-NP24K2 Ads,2.00,<5%,CPC,5860,13,0.0022,7.42,0.57,0,4,75.96,0.0977,10.2372,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,78AP16NUSL2R8-8GK2_Search,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,6/29/21,,1-NP6K2 Ads,15.00,12.45928338762215%,CPC,1679,17,0.0101,15.55,0.91,0,4,138.96,0.1119,8.9363,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,78AP16NUSL2R8-8G,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Dynamic bids - down only,8/18/16,,1-NP6K2 Ads,3.00,<5%,CPC,15587,6,0.0004,3.29,0.55,0,3,54.98,0.0598,16.7112,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,76TT24NUS2R8-16G,CAMPAIGN_STATUS_ENABLED,SP,AUTOMATIC,Dynamic bids - down only,2/9/18,,76TT24 Group,3.00,<5%,CPC,12342,13,0.0011,5.09,0.39,0,3,132.77,0.0383,26.0845,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
ENABLED,76TT24NUS2R8-16G-Manual,CAMPAIGN_STATUS_ENABLED,SP,MANUAL,Dynamic bids - down only,2/9/18,,76TT24 Group,6.00,<5%,CPC,10565,18,0.0017,4.90,0.27,0,3,116.97,0.0419,23.8714,0,0,0.00,0,0,0.00,0,0,0,0,0,0,0,0.00
